#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ITGB4	ITGB5	9606.ENSP00000200181	9606.ENSP00000296181	0	0	0.720	0	0.720
ITGB5	ITGB8	9606.ENSP00000296181	9606.ENSP00000222573	0	0	0.900	0	0.900
ITGB5	VTN	9606.ENSP00000296181	9606.ENSP00000226218	0	0.431	0.500	0	0.703
ITGB5	ITGB7	9606.ENSP00000296181	9606.ENSP00000267082	0	0	0.900	0	0.900
ITGB5	ITGB6	9606.ENSP00000296181	9606.ENSP00000283249	0	0	0.900	0	0.900
ITGB6	ITGB8	9606.ENSP00000283249	9606.ENSP00000222573	0	0	0.900	0	0.900
ITGB6	ITGB7	9606.ENSP00000283249	9606.ENSP00000267082	0	0	0.900	0	0.900
ITGB7	ITGB8	9606.ENSP00000267082	9606.ENSP00000222573	0	0	0.900	0	0.900
LAMA1	LAMB1	9606.ENSP00000374309	9606.ENSP00000222399	0	0	0.900	0	0.900
LAMA1	LAMA5	9606.ENSP00000374309	9606.ENSP00000252999	0	0.044	0.900	0	0.900
LAMA1	LAMC1	9606.ENSP00000374309	9606.ENSP00000258341	0	0.044	0.800	0	0.800
LAMA1	LAMB2	9606.ENSP00000374309	9606.ENSP00000307156	0	0	0.800	0	0.800
LAMA1	LAMA2	9606.ENSP00000374309	9606.ENSP00000400365	0	0.044	0.900	0	0.900
LAMA2	LAMB1	9606.ENSP00000400365	9606.ENSP00000222399	0	0.054	0.800	0	0.802
LAMA2	LAMC1	9606.ENSP00000400365	9606.ENSP00000258341	0	0.350	0.800	0	0.864
LAMA2	LAMB2	9606.ENSP00000400365	9606.ENSP00000307156	0	0.422	0.800	0	0.879
LAMA2	LAMC3	9606.ENSP00000400365	9606.ENSP00000354360	0	0.350	0.800	0	0.864
LAMA3	LAMB1	9606.ENSP00000324532	9606.ENSP00000222399	0	0.054	0.800	0	0.802
LAMA3	LAMC1	9606.ENSP00000324532	9606.ENSP00000258341	0	0.189	0.800	0	0.830
LAMA3	LAMC2	9606.ENSP00000324532	9606.ENSP00000264144	0	0.189	0.800	0	0.830
LAMA3	LAMB2	9606.ENSP00000324532	9606.ENSP00000307156	0	0.253	0.800	0	0.844
LAMA3	LAMB3	9606.ENSP00000324532	9606.ENSP00000375778	0	0.253	0.800	0	0.844
LAMA4	LAMB1	9606.ENSP00000230538	9606.ENSP00000222399	0	0.054	0.800	0	0.802
LAMA4	LAMB2	9606.ENSP00000230538	9606.ENSP00000307156	0	0.253	0.800	0	0.844
LAMA4	LAMC3	9606.ENSP00000230538	9606.ENSP00000354360	0	0.189	0.800	0	0.830
LAMA4	LAMC1	9606.ENSP00000230538	9606.ENSP00000258341	0	0.189	0.800	0	0.830
LAMA5	LAMB1	9606.ENSP00000252999	9606.ENSP00000222399	0	0.901	0.900	0	0.989
LAMA5	LAMC2	9606.ENSP00000252999	9606.ENSP00000264144	0	0.189	0.800	0	0.830
LAMA5	LAMB2	9606.ENSP00000252999	9606.ENSP00000307156	0	0.253	0.800	0	0.844
LAMA5	LAMC1	9606.ENSP00000252999	9606.ENSP00000258341	0	0.960	0.800	0	0.991
LAMB1	LAMB2	9606.ENSP00000222399	9606.ENSP00000307156	0	0	0.720	0	0.720
LAMB1	LAMC3	9606.ENSP00000222399	9606.ENSP00000354360	0	0.423	0.800	0	0.879
LAMB1	LAMC1	9606.ENSP00000222399	9606.ENSP00000258341	0	0.953	0.800	0	0.990
LAMB2	LAMC1	9606.ENSP00000307156	9606.ENSP00000258341	0	0.366	0.800	0	0.867
LAMB2	LAMC2	9606.ENSP00000307156	9606.ENSP00000264144	0	0.350	0.800	0	0.864
LAMB2	LAMC3	9606.ENSP00000307156	9606.ENSP00000354360	0	0.366	0.800	0	0.867
LAMB3	LAMC2	9606.ENSP00000375778	9606.ENSP00000264144	0	0.303	0.800	0	0.854
SDC1	THBS1	9606.ENSP00000370542	9606.ENSP00000260356	0	0	0.700	0	0.700
SDC1	SDC4	9606.ENSP00000370542	9606.ENSP00000361818	0	0	0.900	0	0.900
SV2A	SV2C	9606.ENSP00000358142	9606.ENSP00000423541	0	0	0.900	0	0.900
SV2A	SV2B	9606.ENSP00000358142	9606.ENSP00000377779	0	0	0.900	0	0.900
SV2B	SV2C	9606.ENSP00000377779	9606.ENSP00000423541	0	0	0.900	0	0.900
