#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GABARAP	TAX1BP1	9606.ENSP00000306866	9606.ENSP00000379612	0	0.295	0.900	0	0.926
GABARAP	GABARAPL1	9606.ENSP00000306866	9606.ENSP00000411256	0	0.166	0.900	0	0.913
GABARAP	OPTN	9606.ENSP00000306866	9606.ENSP00000368022	0	0.457	0.900	0	0.943
GABARAP	SQSTM1	9606.ENSP00000306866	9606.ENSP00000374455	0	0.510	0.900	0	0.948
GABARAP	NBR1	9606.ENSP00000306866	9606.ENSP00000343479	0	0.695	0.900	0	0.968
GABARAPL1	GABARAPL2	9606.ENSP00000411256	9606.ENSP00000037243	0	0.166	0.900	0	0.913
GABARAPL1	NBR1	9606.ENSP00000411256	9606.ENSP00000343479	0	0.640	0.900	0	0.962
GABARAPL1	OPTN	9606.ENSP00000411256	9606.ENSP00000368022	0	0.425	0.900	0	0.940
GABARAPL1	SQSTM1	9606.ENSP00000411256	9606.ENSP00000374455	0	0.510	0.900	0	0.948
GABARAPL1	TAX1BP1	9606.ENSP00000411256	9606.ENSP00000379612	0	0.424	0.900	0	0.939
GABARAPL2	TAX1BP1	9606.ENSP00000037243	9606.ENSP00000379612	0	0.333	0.900	0	0.930
GABARAPL2	OPTN	9606.ENSP00000037243	9606.ENSP00000368022	0	0.425	0.900	0	0.940
GABARAPL2	NBR1	9606.ENSP00000037243	9606.ENSP00000343479	0	0.675	0.900	0	0.966
GABARAPL2	SQSTM1	9606.ENSP00000037243	9606.ENSP00000374455	0	0.639	0.900	0	0.962
HIF1A	UBC	9606.ENSP00000437955	9606.ENSP00000441543	0	0.457	0.500	0	0.716
